;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;DefaultShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
ItemOreBlock;ItemOreBlock;Terrain;MekiasmMain;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;itemoreblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;12;1;;;;;0;1;None
ItemOreChunkBlock;ItemOreChunkBlock;Terrain;;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;itemoreblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;12;1;;;;;0;1;None
SingleChestBlock;SingleChestBlock;Items;MekiasmSingleChestBehavior;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;SingleChestBlock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;0;0;0;#;1;0;1;1;1;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;2;1;;;;;0;1;None
ItemElectricBlock;ItemElectricBlock;Electrics;;247;0,0,0;-1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.2;0,0.2,0;0, 0, 0;itemelectricblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;-1;0;0;0;#;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;Glass;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;0;;;TRUE;Hack;1;0;;;;;78;0.5;None
ItemToolBlock;ItemToolBlock;Terrain;;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;itemtoolblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;12;1;;;;;0;1;None
ItemAlphaBlock;ItemAlphaBlock;Terrain;MekiasmAlpha;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;itemalphablock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;0;0;1;#;1;0;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;12;1;;;;;0;1;None
AtomicDecomposerBlock;原子分解机;Tools;AtomicDecomposerBehavior;20;0,-1,0;1, 1, 1;1;0.5;0.5, -0.7, -0.6;0, 40, 0;0.3;0, 0, 0;0, 40, 0;itemtoolblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;1;1;1;0;1;3;FALSE;FALSE;0;0;Stone;1;5;1;15;0.66;2;4;;3000;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;12;1;;;;;0;1;None
ItemFlatBlock;flat;Items;;136;0,0,0;0, 0, 1;0.8;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;itemflatblock;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;40;40;0;1;0.5;FALSE;FALSE;1;1;;1;1;1;1;0.66;0.1;0;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;;;;;;;;;;196;1;Feathers come from birds' tails and can be used as stabilizers in arrows.
MekFluidBlock;Water;Terrain;MekiasmFluid;15;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;1;2;0;0;;1;;0;40;40;0;1;1;FALSE;FALSE;0;0;;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;;;1;;;;;189;0;Water is a fluid that easily flows from place to place and fills low-lying areas. A bucket can be used to transport it from a source to a dry area. When placed in a cold area, water will freeze into ice.
MekClothingBlock;Clothing;Clothes;;153;0,0,0;-1, 1, -1;0.7;0.4;0.5, -0.5, -0.6;0, 40, 0;0.35;0,0.12,0;0, 0, 0;clothing;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;1;0;1;0.5;FALSE;FALSE;1;1;;1;1;1;1;0.66;1;1;;15;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;;;;;;;;;;197;1;Clothing and armor are used to protect the wearer from environment conditions and attacks. Various types of clothes are available and can be put on or removed through clothes interface. Can be dyed by bathing in a paint bucket in a heated furnace.
